33715461159,FIDEICOMISO ENEAS,ACACNINN00,,,,
33715461779,LOS RETOÑOS AGRICOLA GANADERA,ACACNINN00,,,,
33715462279,GR ASESORES TRIBUTARIOS SA,ACACNINS00,,,,
33715462449,PADILLA F.B. S.R.L. EN FORMACI,ACACNINN00,,,,
33715462619,CONARG S.R.L. EN FORMACION,ACACNINN00,,,,
33715462929,SOCIEDAD COSTANERA ZARATE S.A.,ACACNINS00,,,,
33715463089,CONSORCIO DE COPROPIETARIOS DE,NIEXNINS00,,,,
33715463429,GOMEZ VANESA NATALI GOMEZ DENI,NIEXNINN00,,,,
33715463739,TRANSPORTE WALTER SOCIEDAD DE,ACACNINN00,,,,
33715463909,INSAL S.R.L.,ACACNINN00,,,,
33715464069,COMITIA CONSULTING S.R.L.,ACACNINN00,,,,
33715464379,R-12 SRL,ACACNINN00,,,,
33715464409,INTERCOM S.R.L.,ACACNINN00,,,,
33715464549,BOGADO 4513 S.A.,ACACNINS00,,,,
33715464689,VIP SHOP S.A.,ACACNINN00,,,,
33715464719,PW PRODUCCIONES S.A.,ACACNINS00,,,,
33715464999,CANTELMI DIEGO JULIAN Y CANTEL,NIACNINN00,,,,
33715465049,OCB S.R.L.,ACACNINS00,,,,
33715465219,EMPRENDIMIENTOS DALI ARTE GRAF,ACACNINS00,,,,
33715465499,DTS CABRERA SRL,ACACNINS00,,,,
33715465839,INDUSTRIA ARGENTINA DE AISLACI,ACACNINS00,,,,
33715466029,CADIP,ACACNINN00,,,,
33715466339,ELECTROTECNIA ELSUS S.R.L,ACACNINS00,,,,
33715466479,PIZACH SRL,ACACNINS00,,,,
33715466509,ELKAS S.R.L.,ACACNINN00,,,,
33715466789,ALUMINIZAR SOCIEDAD DE RESPONS,ACACNINN00,,,,
33715467149,ONLY S.R.L.,ACACNINS00,,,,
33715467319,DEPILEVEN SOCIEDAD DE RESPONSA,ACACNINS00,,,,
33715467459,PROYECTOS EDILICIOS GOMEZ S.R.,ACACNINS00,,,,
33715467599,SURNEA S.R.L,ACACNINS00,,,,
33715467769,CRIZO LA PLATA S.R.L.,ACACNINS00,,,,
33715467939,KINGTEC SRL,ACACNINS00,,,,
33715468129,FIDEICOMISO INMOBILIARIO AL CO,NCACNINN00,,,,
33715468269,BSP LARTI SA,ACACNINS00,,,,
33715468579,DONO X VOS,ACEXNINN00,,,,
33715468609,JUAPO S.R.L.,ACACNINS00,,,,
33715468889,CLINICA VETERINARIA ACUARIO S.,ACACNINS00,,,,
33715469249,SAN COSME S.A.,NIACNINN00,,,,
33715469419,AJ VIAL ARGENTINA SRL,ACACNINN00,,,,
33715469559,KALINAW SOCIEDAD DE RESPONSABI,ACACNINS00,,,,
33715469729,NEDETEC S.A.,ACACNINN00,,,,
33715470239,TEXTIL PLANETA SA,ACACNINS00,,,,
33715470379,CIMEPA S.A.,ACACNINN00,,,,
33715470999,OVERPORT S.R.L.,ACACNINS00,,,,
33715471189,MOTORSCAR S.R.L.,NIACNINN00,,,,
33715471359,CONDOMINIO ROUSSEAUX ADRIANA I,NIACNINN00,,,,
33715471499,SULKY SRL,ACACNINN00,,,,
33715471529,CABAÑAS S.R.L.,ACACNINN00,,,,
33715471669,PETRYNOR ENERGY S.R.L.,ACACNINN00,,,,
33715471839,VITTO VICTORIA S.A.,ACACNINS00,,,,
33715472169,CONDOMINIO DE SOSA MARIA CRIST,NIACNINN00,,,,
33715472339,RAPIBOY SRL,ACACNINN00,,,,
33715472479,FIDEICOMISO EDIFICIO ANTIGONA,NCACNINN00,,,,
33715472649,PETIT PLAST SOCIEDAD ANONIMA,ACACNINS00,,,,
33715472789,PANIFICADORA JOSE C PAZ S.A.,ACACNINS00,,,,
33715472819,TRANSLUCID S.A.,ACACNINN00,,,,
33715473009,GESTION Y PROYECTOS LATINOS S.,ACACNINN00,,,,
33715473319,BRAHMAN JGD SRL,ACACNINS00,,,,
33715474129,THISHA SOCIEDAD ANONIMA,ACACNINN00,,,,
33715474439,LA FABRICA MARMAS S.A.,ACACNINS00,,,,
33715474919,ALFREDO A. LLAMAS Y JUAN J. LL,NIACNINS00,,,,
33715475079,AGROPECUARIA EL TATA S.R.L.,ACACNINS00,,,,
33715475249,PIKU SERVICIOS INTELIGENTES SR,ACEXNINS00,,,,
33715475559,EXET S.R.L.,ACACNINS00,,,,
33715475699,ENTRE BOLLOS S.R.L.,ACACNINS00,,,,
33715476709,COOPERATIVA DE TRABAJO ELUNEY,ACACNINN00,,,,
33715476989,MARMIMAT S.A.,ACACNINS00,,,,
33715477039,AGRO ENERGIA S.A.,ACACNINS00,,,,
33715477489,VILLE ALVRAY SRL,ACACNINN00,,,,
33715477519,FIDEICOMISO DE INVERSION AGROP,ACACNINN00,,,,
33715477799,JOSE CARTELLONE CONSTRUCCIONES,NCACNINS00,,,,
33715477829,JULISAN S.R.L.,ACACNINN00,,,,
33715478019,CHARCAS 3196 SRL,ACACNINN00,,,,
33715478299,KRANEVITTER CESAR EUGENIO Y KR,ACACNINS00,,,,
33715478329,BEDEESE CRAFTBEER S.A.,ACACNINS00,,,,
33715478469,ROPALAN SRL,ACACNINS00,,,,
33715478639,INSTITUTO NACIONAL DEL CANCER,EXEXNINN00,,,,
33715478809,OLIVERO MARCOS R. Y AMEDEY ARA,NIACNINN00,,,,
33715479139,EURO CASA S.A.,ACACNINS00,,,,
33715479309,MOBILIS S.R.L.,ACACNINS00,,,,
33715479589,CAFE BELGRANO 439 BERNAL SRL E,ACACNINS00,,,,
33715479759,A.E.T SRL EN FORMACION,ACACNINS00,,,,
33715479899,CHATEAU BERNAL S.A,ACACNINN00,,,,
33715479929,SCHESNA SOLUTIONS SRL,ACACNINN00,,,,
33715480099,S & S SOLUCIONES S.R.L,ACACNINN00,,,,
33715480129,SAN ISIDRO S.R.L.,ACACNINN00,,,,
33715480269,TATA CUA S.R.L.,ACACNINN00,,,,
33715480439,SERVICIOS MEDICOS PARA EMPRESA,ACACNINS00,,,,
33715480579,FINCAS DEL NORTE SRL,ACACNINN00,,,,
33715480609,DENEB S.A.,ACACNINN00,,,,
33715480749,M Y V COMERCIAL SRL,ACACNINS00,,,,
